Timestamp,Jurusan,Angkatan,Sebagai Mahasiswa Untuk keperluan apa saja Anda menggunakan ChatGPT? (Pilih semua yang relevan),Apabila anda mendapat tugas dalam waktu dekat anda akan menggunakan apa untuk menyelesaikan tugasnya?,Sebelum menggunakan Chat GPT Seberapa sering kalian melakukan kegiatan membaca dalam seminggu?,Seberapa tinggi minat baca Anda sebelum menggunakan ChatGPT?,"Sebelum menggunakan ChatGPT, sejauh mana Anda merasa termotivasi untuk membaca literatur yang relevan dengan tugas akademik Anda?","Sebelum menggunakan ChatGPT, bagaimana tingkat pemahaman Anda tentang pentingnya membaca literatur akademik dalam menyelesaikan tugas?","Apakah Anda merasa sebelum menggunakan ChatGPT, Anda lebih cenderung mencari informasi sendiri dari literatur atau mengandalkan ringkasan dari sumber lain?","Sebelum menggunakan ChatGPT, bagaimana kebiasaan Anda dalam mencari dan membaca jurnal atau artikel ilmiah untuk mendukung tugas akademik Anda?","Sebelum menggunakan ChatGPT, bagaimana tingkat kemandirian Anda dalam mencari bahan bacaan akademik yang relevan dengan tugas?",Total Nilai Sebelum Penggunaan ChatGPT (Post),Setelah menggunakan Chat GPT Seberapa sering kalian melakukan kegiatan membaca dalam seminggu?,Seberapa tinggi minat baca Anda setelah menggunakan ChatGPT?,"Setelah menggunakan ChatGPT, apakah Anda masih merasa termotivasi untuk membaca literatur yang relevan dengan tugas akademik Anda?",Bagaimana tingkat pemahaman Anda tentang pentingnya membaca literatur akademik dalam menyelesaikan tugas setelah menggunakan ChatGPT?,Apakah penggunaan ChatGPT telah mengubah kecenderungan Anda dalam mencari informasi sendiri dari literatur atau mengandalkan ringkasan dari sumber lain?,"Setelah menggunakan ChatGPT, bagaimana kebiasaan Anda dalam mencari dan membaca jurnal atau artikel ilmiah untuk mendukung tugas akademik Anda?",Bagaimana tingkat kemandirian Anda dalam mencari bahan bacaan akademik yang relevan dengan tugas setelah menggunakan ChatGPT?,Total Nilai Sesudah Penggunaan ChatGPT (Post),Selisih Antara Total Nilai Sesudah dan Sebelum Penggunaan ChatGPT (Xi),Apakah penggunaan ChatGPT membantu Anda menemukan literatur yang relevan dengan lebih cepat?,Apakah penggunaan ChatGPT meningkatkan minat Anda dalam membaca literatur akademik?,Apakah Anda merasa penggunaan ChatGPT mengurangi kemandirian Anda dalam mencari literatur?,Bagaimana ChatGPT mempengaruhi cara Anda mengakses informasi? (Pilih semua yang relevan),Seberapa besar pengaruh ChatGPT dalam meningkatkan efisiensi waktu Anda dalam mencari literatur akademik?,"Secara keseluruhan, bagaimana Anda menilai pengaruh ChatGPT terhadap minat baca akademik Anda?",(Xi-x̄)^2,Nilai Sebelum Penggunaan ChatGPT (%),Nilai Sesudah Penggunaan ChatGPT (%)
5/21/2024 12:42:30,Inovasi Digital,2023,"Membantu mengerjakan tugas, Mencari informasi, Mendiskusikan topik tertentu","Chat GPT, Buku, Jurnal",>2 kali,5,5,5,4,4,5,28,1-2 kali,3,4,5,4,4,3,23,-5,4,2,4,"Lebih mengandalkan ChatGPT untuk jawaban cepat, Mengurangi waktu membaca buku fisik",5,5,16.7281,93.33333333,76.66666667
5/21/2024 12:52:39,Sistem Informasi,2023,"Membantu mengerjakan tugas, Mendiskusikan topik tertentu",Chat GPT,1-2 kali,4,5,5,5,5,5,29,1-2 kali,3,4,5,3,4,2,21,-8,5,4,3,Lebih mengandalkan ChatGPT untuk jawaban cepat,5,4,50.2681,96.66666667,70
5/21/2024 15:10:21,Sistem Informasi,2020,Mendiskusikan topik tertentu,"Buku, Jurnal",>2 kali,4,5,5,5,5,5,29,>2 kali,5,5,5,5,5,5,30,1,3,3,1,Lebih sering membaca artikel atau buku,5,3,3.6481,96.66666667,100
5/21/2024 15:22:42,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi","Chat GPT, Buku, Jurnal",1-2 kali,4,3,2,4,2,3,18,1-2 kali,3,3,4,4,4,5,23,5,4,5,3,"Lebih sering mencari informasi di internet, Lebih sering membaca artikel atau buku, Lebih mengandalkan ChatGPT untuk jawaban cepat, Mengurangi waktu membaca buku fisik",4,4,34.9281,60,76.66666667
5/21/2024 15:32:20,Sistem Informasi,2022,Mencari informasi,Jurnal,>2 kali,3,4,3,4,3,4,21,1-2 kali,3,4,4,3,4,5,23,2,4,4,5,"Lebih sering membaca artikel atau buku, Lebih mengandalkan ChatGPT untuk jawaban cepat",4,5,8.4681,70,76.66666667
5/21/2024 16:17:15,Inovasi Digital,2023,"Membantu mengerjakan tugas, Mencari informasi, Mendiskusikan topik tertentu","Chat GPT, Buku, Jurnal",1-2 kali,3,4,4,5,4,4,24,Tidak pernah,3,4,4,3,2,2,18,-6,5,3,4,Lebih mengandalkan ChatGPT untuk jawaban cepat,5,4,25.9081,80,60
5/21/2024 16:33:28,Sistem Informasi,2022,"Mencari informasi, Mendiskusikan topik tertentu",Chat GPT,>2 kali,4,4,3,2,4,3,20,1-2 kali,4,4,2,4,5,5,24,4,4,5,4,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat",4,5,24.1081,66.66666667,80
5/21/2024 18:34:50,Inovasi Digital,2023,"Membantu mengerjakan tugas, Mencari informasi, Mendiskusikan topik tertentu","Chat GPT, Buku, Jurnal",>2 kali,5,5,5,5,5,5,30,>2 kali,5,5,5,5,5,5,30,0,3,4,4,"Lebih sering mencari informasi di internet, Lebih sering membaca artikel atau buku",5,3,0.8281,100,100
5/21/2024 19:15:06,Sistem Informasi,2022,"Mencari informasi, Mendiskusikan topik tertentu",Chat GPT,>2 kali,4,4,5,3,4,3,23,1-2 kali,4,5,3,2,4,5,23,0,4,4,4,"Lebih sering membaca artikel atau buku, Mengurangi waktu membaca buku fisik",4,4,0.8281,76.66666667,76.66666667
5/21/2024 20:36:01,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi","Chat GPT, Jurnal",1-2 kali,4,4,5,4,5,3,25,>2 kali,4,5,3,4,4,2,22,-3,2,3,5,"Lebih sering membaca artikel atau buku, Lebih mengandalkan ChatGPT untuk jawaban cepat",4,4,4.3681,83.33333333,73.33333333
5/21/2024 21:36:46,Sistem Informasi,2022,"Mencari informasi, Mendiskusikan topik tertentu, Hiburan","Chat GPT, Jurnal",>2 kali,4,5,2,5,4,4,24,>2 kali,5,3,4,5,3,5,25,1,4,5,2,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat",5,5,3.6481,80,83.33333333
5/21/2024 22:47:42,Inovasi Digital,2023,Membantu mengerjakan tugas,Chat GPT,1-2 kali,4,5,5,4,4,5,27,1-2 kali,4,5,4,3,3,2,21,-6,5,4,5,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat",5,5,25.9081,90,70
5/22/2024 11:39:57,Inovasi Digital,2023,"Mencari informasi, Mendiskusikan topik tertentu","Buku, Jurnal",>2 kali,5,5,5,5,5,5,30,1-2 kali,4,4,5,5,4,4,26,-4,5,3,4,"Lebih sering mencari informasi di internet, Lebih sering membaca artikel atau buku",5,4,9.5481,100,86.66666667
5/22/2024 11:42:09,Sistem Informasi,2020,"Mencari informasi, Mendiskusikan topik tertentu","Buku, Jurnal",>2 kali,4,5,5,4,5,5,28,>2 kali,4,4,4,4,5,3,24,-4,4,4,5,"Lebih sering membaca artikel atau buku, Lebih mengandalkan ChatGPT untuk jawaban cepat, Mengurangi waktu membaca buku fisik",5,5,9.5481,93.33333333,80
5/22/2024 11:43:34,Sistem Informasi,2022,"Mendiskusikan topik tertentu, Hiburan","Chat GPT, Buku",1-2 kali,4,4,2,3,4,5,22,1-2 kali,4,5,4,5,3,5,26,4,4,3,4,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat",4,4,24.1081,73.33333333,86.66666667
5/22/2024 11:44:39,Sistem Informasi,2022,"Mencari informasi, Mendiskusikan topik tertentu","Buku, Jurnal",>2 kali,3,4,5,4,5,4,25,>2 kali,4,4,5,2,5,5,25,0,4,5,4,"Lebih sering membaca artikel atau buku, Lebih mengandalkan ChatGPT untuk jawaban cepat, Mengurangi waktu membaca buku fisik",4,5,0.8281,83.33333333,83.33333333
5/22/2024 11:45:38,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi, Mendiskusikan topik tertentu","Chat GPT, Buku, Jurnal",>2 kali,5,3,4,4,4,2,22,>2 kali,4,4,3,4,4,5,24,2,4,4,3,"Lebih sering mencari informasi di internet, Lebih sering membaca artikel atau buku, Lebih mengandalkan ChatGPT untuk jawaban cepat, Mengurangi waktu membaca buku fisik",4,4,8.4681,73.33333333,80
5/22/2024 11:47:41,Inovasi Digital,2023,"Membantu mengerjakan tugas, Mencari informasi, Mendiskusikan topik tertentu","Chat GPT, Buku, Jurnal",1-2 kali,4,5,5,5,5,5,29,1-2 kali,4,5,5,5,4,3,26,-3,5,5,4,Lebih mengandalkan ChatGPT untuk jawaban cepat,5,5,4.3681,96.66666667,86.66666667
5/22/2024 18:48:20,Inovasi Digital,2023,"Membantu mengerjakan tugas, Mencari informasi, Mendiskusikan topik tertentu",Jurnal,1-2 kali,4,4,3,4,3,5,23,>2 kali,2,5,4,4,5,,20,-3,5,4,4,"Lebih sering mencari informasi di internet, Lebih sering membaca artikel atau buku, Mengurangi waktu membaca buku fisik",4,4,4.3681,76.66666667,66.66666667
5/22/2024 19:22:13,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mendiskusikan topik tertentu, Hiburan",Buku,>2 kali,4,5,4,4,4,4,25,1-2 kali,3,3,3,5,5,5,24,-1,4,5,1,"Lebih sering mencari informasi di internet, Lebih sering membaca artikel atau buku",5,4,0.0081,83.33333333,80
5/22/2024 19:29:57,Inovasi Digital,2023,"Mencari informasi, Mendiskusikan topik tertentu","Buku, Jurnal",>2 kali,5,4,4,5,4,5,27,>2 kali,5,4,4,4,5,5,27,0,3,4,5,Lebih sering membaca artikel atau buku,5,3,0.8281,90,90
5/22/2024 19:30:24,Sistem Informasi,2021,"Membantu mengerjakan tugas, Mencari informasi, Mendiskusikan topik tertentu, Hiburan","Chat GPT, Jurnal",>2 kali,5,4,3,3,4,4,23,>2 kali,3,3,5,5,3,4,23,0,4,5,4,"Lebih sering mencari informasi di internet, Lebih sering membaca artikel atau buku, Lebih mengandalkan ChatGPT untuk jawaban cepat, Mengurangi waktu membaca buku fisik",4,5,0.8281,76.66666667,76.66666667
5/22/2024 19:46:47,Sistem Informasi,2020,"Mencari informasi, Mendiskusikan topik tertentu","Buku, Jurnal",>2 kali,5,5,5,5,5,5,30,>2 kali,5,5,5,5,5,5,30,0,4,5,1,"Lebih sering mencari informasi di internet, Lebih sering membaca artikel atau buku",5,4,0.8281,100,100
5/22/2024 19:47:36,Inovasi Digital,2023,"Membantu mengerjakan tugas, Mendiskusikan topik tertentu, Hiburan","Chat GPT, Buku, Jurnal",>2 kali,4,4,5,4,5,4,26,1-2 kali,4,5,4,4,3,5,25,-1,5,4,4,"Lebih sering mencari informasi di internet, Lebih sering membaca artikel atau buku, Lebih mengandalkan ChatGPT untuk jawaban cepat, Mengurangi waktu membaca buku fisik",4,5,0.0081,86.66666667,83.33333333
5/22/2024 19:49:26,Sistem Informasi,2022,"Mencari informasi, Mendiskusikan topik tertentu",Jurnal,>2 kali,4,5,4,3,4,2,22,>2 kali,4,5,4,5,1,3,22,0,4,4,4,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat",4,4,0.8281,73.33333333,73.33333333
5/22/2024 19:57:34,Sistem Informasi,2022,Mendiskusikan topik tertentu,Jurnal,>2 kali,4,5,5,4,3,4,25,>2 kali,4,4,3,3,4,3,21,-4,5,3,4,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat, Mengurangi waktu membaca buku fisik",3,4,9.5481,83.33333333,70
5/22/2024 20:51:58,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi, Mendiskusikan topik tertentu",Chat GPT,Tidak pernah,4,3,2,4,3,2,18,>2 kali,2,3,2,1,1,4,13,-5,4,2,3,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat",2,3,16.7281,60,43.33333333
5/22/2024 20:56:29,Sistem Informasi,2022,"Mencari informasi, Mendiskusikan topik tertentu",Jurnal,1-2 kali,3,4,4,4,5,3,23,1-2 kali,5,4,3,4,4,4,24,1,5,4,3,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat",4,5,3.6481,76.66666667,80
5/23/2024 11:43:41,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mendiskusikan topik tertentu",Jurnal,Tidak pernah,2,3,2,3,3,5,18,>2 kali,4,5,3,2,4,4,22,4,4,3,4,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat",2,5,24.1081,60,73.33333333
5/23/2024 10:58:52,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi",Chat GPT,>2 kali,4,4,5,5,1,2,21,1-2 kali,3,4,5,3,4,4,23,2,4,4,3,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat",3,4,8.4681,70,76.66666667
5/23/2024 11:09:47,Sistem Informasi,2021,"Membantu mengerjakan tugas, Mendiskusikan topik tertentu",Jurnal,Tidak pernah,4,4,3,4,4,3,22,>2 kali,5,5,3,3,4,3,23,1,4,5,3,"Lebih mengandalkan ChatGPT untuk jawaban cepat, Mengurangi waktu membaca buku fisik",4,5,3.6481,73.33333333,76.66666667
5/23/2024 11:30:32,Sistem Informasi,2020,Mencari informasi,"Chat GPT, Buku",>2 kali,4,3,3,3,3,4,20,1-2 kali,4,3,4,3,4,4,22,2,5,4,3,Lebih mengandalkan ChatGPT untuk jawaban cepat,3,4,8.4681,66.66666667,73.33333333
5/23/2024 11:41:33,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi","Chat GPT, Jurnal",>2 kali,3,4,5,4,4,4,24,1-2 kali,4,5,4,3,3,4,23,-1,5,4,4,Mengurangi waktu membaca buku fisik,4,4,0.0081,80,76.66666667
5/23/2024 12:02:15,Sistem Informasi,2021,Membantu mengerjakan tugas,Chat GPT,Tidak pernah,2,4,3,3,3,4,19,1-2 kali,2,4,1,3,4,4,18,-1,4,5,5,Lebih mengandalkan ChatGPT untuk jawaban cepat,3,3,0.0081,63.33333333,60
5/23/2024 12:10:19,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi, Mendiskusikan topik tertentu","Chat GPT, Buku",>2 kali,2,3,4,2,3,4,18,1-2 kali,4,4,2,3,4,4,21,3,4,3,3,Lebih mengandalkan ChatGPT untuk jawaban cepat,3,4,15.2881,60,70
5/23/2024 12:13:31,Sistem Informasi,2022,Mencari informasi,Chat GPT,1-2 kali,4,4,4,4,3,4,23,>2 kali,4,4,4,3,4,3,22,-1,4,3,3,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat",4,4,0.0081,76.66666667,73.33333333
5/23/2024 12:25:17,Sistem Informasi,2022,Mendiskusikan topik tertentu,"Chat GPT, Jurnal",>2 kali,4,5,5,4,3,4,25,>2 kali,4,4,4,4,5,3,24,-1,5,4,5,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat",4,5,0.0081,83.33333333,80
5/23/2024 15:02:26,Sistem Informasi,2021,"Mencari informasi, Mendiskusikan topik tertentu","Buku, Jurnal",>2 kali,5,5,5,5,5,5,30,1-2 kali,4,5,5,4,4,3,25,-5,5,4,5,"Lebih sering mencari informasi di internet, Lebih sering membaca artikel atau buku, Mengurangi waktu membaca buku fisik",5,4,16.7281,100,83.33333333
5/23/2024 15:05:36,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi","Chat GPT, Jurnal",1-2 kali,4,4,3,4,4,5,24,1-2 kali,3,4,3,3,3,2,18,-6,5,3,5,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat",5,5,25.9081,80,60
5/23/2024 15:09:11,Sistem Informasi,2022,Membantu mengerjakan tugas,Jurnal,>2 kali,4,5,3,3,3,3,21,Tidak pernah,2,3,3,2,3,3,16,-5,3,2,3,Lebih sering mencari informasi di internet,2,3,16.7281,70,53.33333333
5/23/2024 15:13:24,Inovasi Digital,2023,"Mencari informasi, Mendiskusikan topik tertentu","Buku, Jurnal",>2 kali,5,5,5,5,5,5,30,>2 kali,4,5,5,4,4,4,26,-4,4,4,5,"Lebih sering mencari informasi di internet, Lebih sering membaca artikel atau buku, Lebih mengandalkan ChatGPT untuk jawaban cepat",5,4,9.5481,100,86.66666667
5/23/2024 15:15:53,Sistem Informasi,2022,Membantu mengerjakan tugas,Buku,1-2 kali,3,4,3,4,2,4,20,1-2 kali,2,3,4,4,4,4,21,1,4,4,4,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat",3,3,3.6481,66.66666667,70
5/23/2024 15:33:37,Sistem Informasi,2023,Membantu mengerjakan tugas,Chat GPT,>2 kali,5,5,5,5,5,5,30,1-2 kali,3,4,5,3,3,2,20,-10,5,4,4,"Lebih sering mencari informasi di internet, Lebih mengandalkan ChatGPT untuk jawaban cepat",5,4,82.6281,100,66.66666667
5/23/2024 15:41:59,Sistem Informasi,2021,Mendiskusikan topik tertentu,Chat GPT,>2 kali,4,5,3,4,4,5,25,1-2 kali,5,4,5,4,4,4,26,1,5,4,3,Lebih mengandalkan ChatGPT untuk jawaban cepat,4,3,3.6481,83.33333333,86.66666667
5/23/2024 12:13:19,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi",Chat GPT,Tidak pernah,2,3,3,3,4,4,19,1-2 kali,3,3,3,4,4,3,20,1,4,3,3,Lebih mengandalkan ChatGPT untuk jawaban cepat,3,4,3.6481,63.33333333,66.66666667
5/23/2024 12:13:25,Sistem Informasi,2023,"Membantu mengerjakan tugas, Mencari informasi, Mendiskusikan topik tertentu","Chat GPT, Buku, Jurnal",1-2 kali,4,5,5,4,4,5,27,1-2 kali,4,4,5,4,3,4,24,-3,5,3,4,Lebih mengandalkan ChatGPT untuk jawaban cepat,5,4,4.3681,90,80
5/23/2024 12:14:44,Sistem Informasi,2022,Mendiskusikan topik tertentu,Chat GPT,Tidak pernah,2,3,2,3,2,4,16,1-2 kali,4,4,4,3,3,3,21,5,4,3,4,Lebih sering mencari informasi di internet,4,4,34.9281,53.33333333,70
5/23/2024 12:15:01,Sistem Informasi,2021,"Mencari informasi, Mendiskusikan topik tertentu","Buku, Jurnal",>2 kali,5,5,5,5,5,5,30,>2 kali,5,5,5,5,5,5,30,0,3,4,5,Lebih sering membaca artikel atau buku,5,4,0.8281,100,100
5/23/2024 12:16:08,Sistem Informasi,2022,Mendiskusikan topik tertentu,"Chat GPT, Jurnal",1-2 kali,3,3,5,4,4,3,22,1-2 kali,4,3,3,3,2,2,17,-5,3,4,4,Lebih mengandalkan ChatGPT untuk jawaban cepat,2,4,16.7281,73.33333333,56.66666667
5/23/2024 12:17:06,Inovasi Digital,2023,Membantu mengerjakan tugas,Chat GPT,>2 kali,5,5,5,5,5,5,30,1-2 kali,3,4,5,3,3,2,20,-10,5,3,4,Lebih mengandalkan ChatGPT untuk jawaban cepat,5,5,82.6281,100,66.66666667
5/23/2024 12:17:48,Sistem Informasi,2022,Mendiskusikan topik tertentu,Jurnal,Tidak pernah,3,4,3,3,3,3,19,Tidak pernah,3,3,4,3,4,5,22,3,4,3,4,Lebih mengandalkan ChatGPT untuk jawaban cepat,2,3,15.2881,63.33333333,73.33333333
5/23/2024 12:18:31,Inovasi Digital,2023,"Membantu mengerjakan tugas, Mencari informasi, Mendiskusikan topik tertentu","Buku, Jurnal",>2 kali,5,5,5,5,5,5,30,>2 kali,5,5,5,5,5,3,28,-2,4,5,1,Lebih sering membaca artikel atau buku,5,4,1.1881,100,93.33333333
5/23/2024 12:18:43,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi",Jurnal,1-2 kali,4,5,3,4,3,4,23,>2 kali,4,3,3,3,4,4,21,-2,3,4,4,"Lebih sering mencari informasi di internet, Mengurangi waktu membaca buku fisik",3,4,1.1881,76.66666667,70
5/23/2024 12:19:22,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi, Mendiskusikan topik tertentu, Hiburan",Chat GPT,Tidak pernah,3,2,4,4,4,3,20,1-2 kali,4,3,4,4,3,4,22,2,2,3,4,Lebih mengandalkan ChatGPT untuk jawaban cepat,3,3,8.4681,66.66666667,73.33333333
5/23/2024 12:20:38,Sistem Informasi,2021,"Membantu mengerjakan tugas, Mencari informasi","Chat GPT, Buku, Jurnal",1-2 kali,4,5,4,5,4,4,26,>2 kali,4,5,4,5,3,4,25,-1,4,5,4,"Lebih mengandalkan ChatGPT untuk jawaban cepat, Mengurangi waktu membaca buku fisik",4,3,0.0081,86.66666667,83.33333333
5/23/2024 12:21:25,Sistem Informasi,2022,"Membantu mengerjakan tugas, Mencari informasi, Hiburan",Jurnal,>2 kali,3,3,4,4,4,4,22,>2 kali,3,4,3,4,3,3,20,-2,4,3,3,"Lebih mengandalkan ChatGPT untuk jawaban cepat, Mengurangi waktu membaca buku fisik",2,3,1.1881,73.33333333,66.66666667
